Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
393	02/27/18 16:21:20.042.715		02 02 2e cd ae 00 04 a2 
394	02/27/18 16:21:20.043.408		83 04 00 58 58 01 0a 
395	02/27/18 16:21:20.044.013		ca 00 04 ff 00 00 05 03 
396	02/27/18 16:21:20.044.706		00 01 ca 01 04 00 01 00 
397	02/27/18 16:21:20.045.398		00 00 00 00 00 00 00 00 
398	02/27/18 16:21:20.046.090		00 00 00 00 00 00 00 00 
399	02/27/18 16:21:20.046.782		63 63 63 63 eb 78 
400	02/27/18 16:21:20.187.528	02 02 00 08 02 	
401	02/27/18 16:21:20.202.720		02 02 2e cd ae 00 04 a3 
402	02/27/18 16:21:20.203.412		23 04 00 58 58 01 0a 
403	02/27/18 16:21:20.204.018		ca 00 04 ff 00 00 05 03 
404	02/27/18 16:21:20.204.710		00 01 ba 01 04 00 01 00 
405	02/27/18 16:21:20.205.402		00 00 00 00 00 00 00 00 
406	02/27/18 16:21:20.206.095		00 00 00 00 00 00 00 00 
407	02/27/18 16:21:20.206.787		63 63 63 63 2b 28 
408	02/27/18 16:21:20.343.780	02 02 00 08 02 	
409	02/27/18 16:21:20.362.724		02 02 2e cd ae 00 04 a3 
410	02/27/18 16:21:20.363.416		c3 04 00 58 58 01 0a 
411	02/27/18 16:21:20.364.022		ca 00 04 ff 00 00 05 03 
412	02/27/18 16:21:20.364.714		00 01 aa 01 04 00 01 00 
413	02/27/18 16:21:20.365.407		00 00 00 00 00 00 00 00 
414	02/27/18 16:21:20.366.099		00 00 00 00 00 00 00 00 
415	02/27/18 16:21:20.366.791		63 63 63 63 fe 92 
416	02/27/18 16:21:20.500.033	02 02 00 08 02 	
417	02/27/18 16:21:20.512.728		02 02 2e cd ae 00 04 a4 
418	02/27/18 16:21:20.513.420		59 04 00 58 58 01 0a 
419	02/27/18 16:21:20.514.026		ca 00 04 ff 00 00 05 03 
420	02/27/18 16:21:20.514.719		00 01 9b 01 04 00 01 00 
421	02/27/18 16:21:20.515.411		00 00 00 00 00 00 00 00 
422	02/27/18 16:21:20.516.103		00 00 00 00 00 00 00 00 
423	02/27/18 16:21:20.516.796		63 63 63 63 66 0f 
424	02/27/18 16:21:20.656.268	02 02 00 08 02 	
425	02/27/18 16:21:20.672.732		02 02 2e cd ae 00 04 a4 
426	02/27/18 16:21:20.673.425		f9 04 00 58 58 01 0a 
427	02/27/18 16:21:20.674.031		ca 00 04 ff 00 00 05 03 
428	02/27/18 16:21:20.674.723		00 01 8b 01 04 00 01 00 
429	02/27/18 16:21:20.675.415		00 00 00 00 00 00 00 00 
430	02/27/18 16:21:20.676.108		00 00 00 00 00 00 00 00 
431	02/27/18 16:21:20.676.800		63 63 63 63 a2 4e 
432	02/27/18 16:21:20.812.512	02 02 00 08 02 	
433	02/27/18 16:21:20.832.737		02 02 2e cd ae 00 04 a5 
434	02/27/18 16:21:20.833.429		99 04 00 58 58 01 0a 
435	02/27/18 16:21:20.834.035		ca 00 04 ff 00 00 05 03 
436	02/27/18 16:21:20.834.727		00 01 7b 01 04 00 01 00 
437	02/27/18 16:21:20.835.420		00 00 00 00 00 00 00 00 
438	02/27/18 16:21:20.836.112		00 00 00 00 00 00 00 00 
439	02/27/18 16:21:20.836.804		63 63 63 63 5a a0 
440	02/27/18 16:21:20.968.756	02 02 00 08 02 	
441	02/27/18 16:21:20.982.741		02 02 2e cd ae 00 04 a6 
442	02/27/18 16:21:20.983.433		2f 04 00 58 58 01 0a 
443	02/27/18 16:21:20.984.039		ca 00 04 ff 00 00 05 03 
444	02/27/18 16:21:20.984.731		00 01 6c 01 04 00 01 00 
445	02/27/18 16:21:20.985.423		00 00 00 00 00 00 00 00 
446	02/27/18 16:21:20.986.116		00 00 00 00 00 00 00 00 
447	02/27/18 16:21:20.986.808		63 63 63 63 84 ea 
448	02/27/18 16:21:21.125.034	02 02 00 08 02 	
449	02/27/18 16:21:21.142.745		02 02 2e cd ae 00 04 a6 
450	02/27/18 16:21:21.143.437		cf 04 00 58 58 01 0a 
451	02/27/18 16:21:21.144.043		ca 00 04 ff 00 00 05 03 
452	02/27/18 16:21:21.144.735		00 01 5c 01 04 00 01 00 
453	02/27/18 16:21:21.145.428		00 00 00 00 00 00 00 00 
454	02/27/18 16:21:21.146.120		00 00 00 00 00 00 00 00 
455	02/27/18 16:21:21.146.813		63 63 63 63 9f e4 
456	02/27/18 16:21:21.281.286	02 02 00 08 02 	
457	02/27/18 16:21:21.292.750		02 02 2e cd ae 00 04 a7 
458	02/27/18 16:21:21.293.442		65 04 00 58 58 01 0a 
459	02/27/18 16:21:21.294.048		ca 00 04 ff 00 00 05 03 
460	02/27/18 16:21:21.294.740		00 01 4d 01 04 00 01 00 
461	02/27/18 16:21:21.295.432		00 00 00 00 00 00 00 00 
462	02/27/18 16:21:21.296.124		00 00 00 00 00 00 00 00 
463	02/27/18 16:21:21.296.817		63 63 63 63 01 0f 
464	02/27/18 16:21:21.437.539	02 02 00 08 02 	
465	02/27/18 16:21:21.452.754		02 02 2e cd ae 00 04 a8 
466	02/27/18 16:21:21.453.446		05 04 00 58 58 01 0a 
467	02/27/18 16:21:21.454.052		ca 00 04 ff 00 00 05 03 
468	02/27/18 16:21:21.454.744		00 01 3d 01 04 00 01 00 
469	02/27/18 16:21:21.455.437		00 00 00 00 00 00 00 00 
470	02/27/18 16:21:21.456.129		00 00 00 00 00 00 00 00 
471	02/27/18 16:21:21.456.821		63 63 63 63 6c 39 
472	02/27/18 16:21:21.593.791	02 02 00 08 02 	
473	02/27/18 16:21:21.612.758		02 02 2e cd ae 00 04 a8 
474	02/27/18 16:21:21.613.451		a5 04 00 58 58 01 0a 
475	02/27/18 16:21:21.614.056		ca 00 04 ff 00 00 05 03 
476	02/27/18 16:21:21.614.748		00 01 2d 01 04 00 01 00 
477	02/27/18 16:21:21.615.441		00 00 00 00 00 00 00 00 
478	02/27/18 16:21:21.616.133		00 00 00 00 00 00 00 00 
479	02/27/18 16:21:21.616.825		63 63 63 63 a8 78 
480	02/27/18 16:21:21.750.044	02 02 00 08 02 	
481	02/27/18 16:21:21.762.762		02 02 2e cd ae 00 04 a9 
482	02/27/18 16:21:21.763.454		3b 04 00 58 58 01 0a 
483	02/27/18 16:21:21.764.060		ca 00 04 ff 00 00 05 03 
484	02/27/18 16:21:21.764.753		00 01 1e 01 04 00 01 00 
485	02/27/18 16:21:21.765.445		00 00 00 00 00 00 00 00 
486	02/27/18 16:21:21.766.137		00 00 00 00 00 00 00 00 
487	02/27/18 16:21:21.766.830		63 63 63 63 42 46 
488	02/27/18 16:21:21.906.288	02 02 00 08 02 	
489	02/27/18 16:21:21.922.766		02 02 2e cd ae 00 04 a9 
490	02/27/18 16:21:21.923.459		db 04 00 58 58 01 0a 
491	02/27/18 16:21:21.924.065		ca 00 04 ff 00 00 05 03 
492	02/27/18 16:21:21.924.757		00 01 0e 01 04 00 01 00 
493	02/27/18 16:21:21.925.449		00 00 00 00 00 00 00 00 
494	02/27/18 16:21:21.926.142		00 00 00 00 00 00 00 00 
495	02/27/18 16:21:21.926.834		63 63 63 63 97 fc 
496	02/27/18 16:21:22.062.540	02 02 00 08 02 	
497	02/27/18 16:21:22.082.771		02 02 2e cd ae 00 04 aa 
498	02/27/18 16:21:22.083.463		7b 04 00 58 58 01 0a 
499	02/27/18 16:21:22.084.069		ca 00 04 ff 00 00 05 03 
500	02/27/18 16:21:22.084.761		00 00 fe 01 04 00 01 00 
501	02/27/18 16:21:22.085.454		00 00 00 00 00 00 00 00 
502	02/27/18 16:21:22.086.146		00 00 00 00 00 00 00 00 
503	02/27/18 16:21:22.086.839		63 63 63 63 c7 a1 
504	02/27/18 16:21:22.218.793	02 02 00 08 02 	
505	02/27/18 16:21:22.232.775		02 02 2e cd ae 00 04 ab 
506	02/27/18 16:21:22.233.467		11 04 00 58 58 01 0a 
507	02/27/18 16:21:22.234.073		ca 00 04 ff 00 00 05 03 
508	02/27/18 16:21:22.234.765		00 00 ef 01 04 00 01 00 
509	02/27/18 16:21:22.235.457		00 00 00 00 00 00 00 00 
510	02/27/18 16:21:22.236.150		00 00 00 00 00 00 00 00 
511	02/27/18 16:21:22.236.842		63 63 63 63 6b 47 
512	02/27/18 16:21:22.375.045	02 02 00 08 02 	
513	02/27/18 16:21:22.392.779		02 02 2e cd ae 00 04 ab 
514	02/27/18 16:21:22.393.472		b1 04 00 58 58 01 0a 
515	02/27/18 16:21:22.394.077		ca 00 04 ff 00 00 05 03 
516	02/27/18 16:21:22.394.769		00 00 df 01 04 00 01 00 
517	02/27/18 16:21:22.395.462		00 00 00 00 00 00 00 00 
518	02/27/18 16:21:22.396.154		00 00 00 00 00 00 00 00 
519	02/27/18 16:21:22.396.847		63 63 63 63 61 b2 
520	02/27/18 16:21:22.531.289	02 02 00 08 02 	
521	02/27/18 16:21:22.542.783		02 02 2e cd ae 00 04 ac 
522	02/27/18 16:21:22.543.476		47 04 00 58 58 01 0a 
523	02/27/18 16:21:22.544.082		ca 00 04 ff 00 00 05 03 
524	02/27/18 16:21:22.544.774		00 00 d0 01 04 00 01 00 
525	02/27/18 16:21:22.545.466		00 00 00 00 00 00 00 00 
526	02/27/18 16:21:22.546.159		00 00 00 00 00 00 00 00 
527	02/27/18 16:21:22.546.851		63 63 63 63 f5 65 
528	02/27/18 16:21:22.687.542	02 02 00 08 02 	
529	02/27/18 16:21:22.702.788		02 02 2e cd ae 00 04 ac 
530	02/27/18 16:21:22.703.480		e7 04 00 58 58 01 0a 
531	02/27/18 16:21:22.704.086		ca 00 04 ff 00 00 05 03 
532	02/27/18 16:21:22.704.778		00 00 c0 01 04 00 01 00 
533	02/27/18 16:21:22.705.471		00 00 00 00 00 00 00 00 
534	02/27/18 16:21:22.706.163		00 00 00 00 00 00 00 00 
535	02/27/18 16:21:22.706.855		63 63 63 63 31 24 
536	02/27/18 16:21:22.843.803	02 02 00 08 02 	
537	02/27/18 16:21:22.862.792		02 02 2e cd ae 00 04 ad 
538	02/27/18 16:21:22.863.485		87 04 00 58 58 01 0a 
539	02/27/18 16:21:22.864.090		ca 00 04 ff 00 00 05 03 
540	02/27/18 16:21:22.864.783		00 00 b0 01 04 00 01 00 
541	02/27/18 16:21:22.865.475		00 00 00 00 00 00 00 00 
542	02/27/18 16:21:22.866.167		00 00 00 00 00 00 00 00 
543	02/27/18 16:21:22.866.859		63 63 63 63 c3 79 
544	02/27/18 16:21:23.000.047	02 02 00 08 02 	
545	02/27/18 16:21:23.012.796		02 02 2e cd ae 00 04 ae 
546	02/27/18 16:21:23.013.488		1d 04 00 58 58 01 0a 
547	02/27/18 16:21:23.014.094		ca 00 04 ff 00 00 05 03 
548	02/27/18 16:21:23.014.787		00 00 a1 01 04 00 01 00 
549	02/27/18 16:21:23.015.479		00 00 00 00 00 00 00 00 
550	02/27/18 16:21:23.016.171		00 00 00 00 00 00 00 00 
551	02/27/18 16:21:23.016.864		63 63 63 63 9a c1 
552	02/27/18 16:21:23.156.282	02 02 00 08 02 	
553	02/27/18 16:21:23.172.800		02 02 2e cd ae 00 04 ae 
554	02/27/18 16:21:23.173.493		bd 04 00 58 58 01 0a 
555	02/27/18 16:21:23.174.099		ca 00 04 ff 00 00 05 03 
556	02/27/18 16:21:23.174.791		00 00 91 01 04 00 01 00 
557	02/27/18 16:21:23.175.483		00 00 00 00 00 00 00 00 
558	02/27/18 16:21:23.176.176		00 00 00 00 00 00 00 00 
559	02/27/18 16:21:23.176.868		63 63 63 63 90 34 
560	02/27/18 16:21:23.312.500	02 02 00 08 02 	
561	02/27/18 16:21:23.332.805		02 02 2e cd ae 00 04 af 
562	02/27/18 16:21:23.333.497		5d 04 00 58 58 01 0a 
563	02/27/18 16:21:23.334.103		ca 00 04 ff 00 00 05 03 
564	02/27/18 16:21:23.334.795		00 00 81 01 04 00 01 00 
565	02/27/18 16:21:23.335.488		00 00 00 00 00 00 00 00 
566	02/27/18 16:21:23.336.180		00 00 00 00 00 00 00 00 
567	02/27/18 16:21:23.336.873		63 63 63 63 02 62 
568	02/27/18 16:21:23.468.770	02 02 00 08 02 	
569	02/27/18 16:21:23.482.809		02 02 2e cd ae 00 04 af 
570	02/27/18 16:21:23.483.501		f3 04 00 58 58 01 0a 
571	02/27/18 16:21:23.484.107		ca 00 04 ff 00 00 05 03 
572	02/27/18 16:21:23.484.799		00 00 72 01 04 00 01 00 
573	02/27/18 16:21:23.485.492		00 00 00 00 00 00 00 00 
574	02/27/18 16:21:23.486.184		00 00 00 00 00 00 00 00 
575	02/27/18 16:21:23.486.876		63 63 63 63 60 c1 
576	02/27/18 16:21:23.625.048	02 02 00 08 02 	
577	02/27/18 16:21:23.642.813		02 02 2e cd ae 00 04 b0 
578	02/27/18 16:21:23.643.506		93 04 00 58 58 01 0a 
579	02/27/18 16:21:23.644.111		ca 00 04 ff 00 00 05 03 
580	02/27/18 16:21:23.644.804		00 00 62 01 04 00 01 00 
581	02/27/18 16:21:23.645.496		00 00 00 00 00 00 00 00 
582	02/27/18 16:21:23.646.188		00 00 00 00 00 00 00 00 
583	02/27/18 16:21:23.646.881		63 63 63 63 70 4e 
584	02/27/18 16:21:23.781.275	02 02 00 08 02 	
585	02/27/18 16:21:23.792.817		02 02 2e cd ae 00 04 b1 
586	02/27/18 16:21:23.793.510		29 04 00 58 58 01 0a 
587	02/27/18 16:21:23.794.116		ca 00 04 ff 00 00 05 03 
588	02/27/18 16:21:23.794.808		00 00 53 01 04 00 01 00 
589	02/27/18 16:21:23.795.500		00 00 00 00 00 00 00 00 
590	02/27/18 16:21:23.796.193		00 00 00 00 00 00 00 00 
591	02/27/18 16:21:23.796.885		63 63 63 63 e8 77 
592	02/27/18 16:21:23.937.553	02 02 00 08 02 	
593	02/27/18 16:21:23.952.822		02 02 2e cd ae 00 04 b1 
594	02/27/18 16:21:23.953.514		c9 04 00 58 58 01 0a 
595	02/27/18 16:21:23.954.120		ca 00 04 ff 00 00 05 03 
596	02/27/18 16:21:23.954.812		00 00 43 01 04 00 01 00 
597	02/27/18 16:21:23.955.505		00 00 00 00 00 00 00 00 
598	02/27/18 16:21:23.956.197		00 00 00 00 00 00 00 00 
599	02/27/18 16:21:23.956.889		63 63 63 63 3d cd 
600	02/27/18 16:21:24.093.805	02 02 00 08 02 	
601	02/27/18 16:21:24.112.826		02 02 2e cd ae 00 04 b2 
602	02/27/18 16:21:24.113.519		69 04 00 58 58 01 0a 
603	02/27/18 16:21:24.114.125		ca 00 04 ff 00 00 05 03 
604	02/27/18 16:21:24.114.817		00 00 33 01 04 00 01 00 
605	02/27/18 16:21:24.115.509		00 00 00 00 00 00 00 00 
606	02/27/18 16:21:24.116.201		00 00 00 00 00 00 00 00 
607	02/27/18 16:21:24.116.894		63 63 63 63 72 45 
608	02/27/18 16:21:24.250.067	02 02 00 08 02 	
609	02/27/18 16:21:24.262.830		02 02 2e cd ae 00 04 b2 
610	02/27/18 16:21:24.263.522		ff 04 00 58 58 01 0a 
611	02/27/18 16:21:24.264.128		ca 00 04 ff 00 00 05 03 
612	02/27/18 16:21:24.264.821		00 00 24 01 04 00 01 00 
613	02/27/18 16:21:24.265.513		00 00 00 00 00 00 00 00 
614	02/27/18 16:21:24.266.205		00 00 00 00 00 00 00 00 
615	02/27/18 16:21:24.266.898		63 63 63 63 e4 d6 
616	02/27/18 16:21:24.406.302	02 02 00 08 02 	
617	02/27/18 16:21:24.422.834		02 02 2e cd ae 00 04 b3 
618	02/27/18 16:21:24.423.527		9f 04 00 58 58 01 0a 
619	02/27/18 16:21:24.424.133		ca 00 04 ff 00 00 05 03 
620	02/27/18 16:21:24.424.825		00 00 14 01 04 00 01 00 
621	02/27/18 16:21:24.425.517		00 00 00 00 00 00 00 00 
622	02/27/18 16:21:24.426.210		00 00 00 00 00 00 00 00 
623	02/27/18 16:21:24.426.902		63 63 63 63 9b c2 
624	02/27/18 16:21:24.562.563	02 02 00 08 02 	
625	02/27/18 16:21:24.582.839		02 02 2e cd ae 00 04 b4 
626	02/27/18 16:21:24.583.531		3f 04 00 58 58 01 0a 
627	02/27/18 16:21:24.584.137		ca 00 04 ff 00 00 05 03 
628	02/27/18 16:21:24.584.829		00 00 04 01 04 00 01 00 
629	02/27/18 16:21:24.585.522		00 00 00 00 00 00 00 00 
630	02/27/18 16:21:24.586.214		00 00 00 00 00 00 00 00 
631	02/27/18 16:21:24.586.907		63 63 63 63 98 26 
632	02/27/18 16:21:24.718.816	02 02 00 08 02 	
633	02/27/18 16:21:24.732.853		02 02 2e cd ae 00 04 b4 
634	02/27/18 16:21:24.733.545		d5 04 00 58 58 01 0a 
635	02/27/18 16:21:24.734.151		af 00 04 ff 03 01 07 02 
636	02/27/18 16:21:24.734.844		01 00 00 01 04 01 01 00 
637	02/27/18 16:21:24.735.536		00 00 00 00 00 00 00 00 
638	02/27/18 16:21:24.736.228		00 00 00 00 00 00 00 00 
639	02/27/18 16:21:24.736.921		63 63 63 63 c9 49 
640	02/27/18 16:21:24.812.746	02 0e 00 4d 6f 	
641	02/27/18 16:21:24.833.193		02 0e f6 c2 b6 01 05 01 
642	02/27/18 16:21:24.833.886		64 00 01 01 00 01 00 01 
643	02/27/18 16:21:24.834.578		00 01 00 02 00 0b 0a 
644	02/27/18 16:21:24.835.183		23 4b 44 88 64 9f 80 a8 
645	02/27/18 16:21:24.835.876		96 ad a6 ae b1 af b8 b0 
646	02/27/18 16:21:24.836.568		bd b0 c0 b0 c3 b0 c4 b0 
647	02/27/18 16:21:24.837.260		c5 b0 c5 b0 c6 b0 c6 b0 
648	02/27/18 16:21:24.837.953		c6 b0 c6 b0 c6 b0 c6 b0 
649	02/27/18 16:21:24.838.645		c6 b0 c6 b0 c6 b0 c6 b0 
650	02/27/18 16:21:24.839.337		c6 b0 c6 b0 c6 b0 c6 b0 
651	02/27/18 16:21:24.840.030		c6 b0 c6 af c6 af c6 af 
652	02/27/18 16:21:24.840.722		c6 af c6 af c6 af c6 af 
653	02/27/18 16:21:24.841.415		c6 af c6 af c6 af c6 af 
654	02/27/18 16:21:24.842.107		c6 af c6 af c6 af c6 af 
655	02/27/18 16:21:24.842.799		c6 af c6 af c6 af c6 af 
656	02/27/18 16:21:24.843.491		c6 af c5 af c5 af c6 af 
657	02/27/18 16:21:24.844.184		c6 af c6 af c6 af c5 af 
658	02/27/18 16:21:24.844.876		c5 af c5 af c5 af c5 af 
659	02/27/18 16:21:24.845.568		c5 af c5 af c5 af c5 af 
660	02/27/18 16:21:24.846.260		c5 af c5 af c5 af c5 af 
661	02/27/18 16:21:24.846.953		c5 af c5 af c5 af c5 af 
662	02/27/18 16:21:24.847.645		c5 af c5 af c5 af c5 af 
663	02/27/18 16:21:24.848.337		c5 ae c5 af c5 af c5 af 
664	02/27/18 16:21:24.849.030		c5 af c5 ae c5 ae c5 ae 
665	02/27/18 16:21:24.849.722		c5 ae c5 ae c5 ae c5 ae 
666	02/27/18 16:21:24.850.415		c5 ae c5 ae c5 ae c5 ae 
667	02/27/18 16:21:24.851.107		c5 ae c5 ae c5 ae c5 ae 
668	02/27/18 16:21:24.851.799		c5 ae c4 ae be 93 ac 41 
669	02/27/18 16:21:24.852.492		93 1c 78 0c 5e 03 46 00 
670	02/27/18 16:21:24.853.184		34 00 26 00 1b 00 14 00 
671	02/27/18 16:21:24.853.876		0f 00 0b 00 08 00 06 00 
672	02/27/18 16:21:24.854.568		05 00 04 00 02 10 
673	02/27/18 16:21:25.000.033	02 02 00 08 02 	
674	02/27/18 16:21:25.012.861		02 02 2e cd ae 00 04 b5 
675	02/27/18 16:21:25.013.553		ed 04 00 58 58 01 0a 
676	02/27/18 16:21:25.014.159		ca 00 04 ff 03 01 07 02 
677	02/27/18 16:21:25.014.851		00 00 00 01 04 01 01 00 
678	02/27/18 16:21:25.015.543		00 00 00 00 00 00 00 00 
679	02/27/18 16:21:25.016.236		00 00 00 00 00 00 00 00 
680	02/27/18 16:21:25.016.928		63 63 63 63 83 43 
681	02/27/18 16:21:25.156.260	02 02 00 08 02 	
682	02/27/18 16:21:25.172.865		02 02 2e cd ae 00 04 b6 
683	02/27/18 16:21:25.173.558		8d 04 00 58 58 01 0a 
684	02/27/18 16:21:25.174.163		ca 00 04 ff 03 01 07 02 
685	02/27/18 16:21:25.174.855		00 00 00 01 04 01 01 00 
686	02/27/18 16:21:25.175.548		00 00 00 00 00 00 00 00 
687	02/27/18 16:21:25.176.240		00 00 00 00 00 00 00 00 
688	02/27/18 16:21:25.176.932		63 63 63 63 da 61 
689	02/27/18 16:21:25.312.538	02 02 00 08 02 	
690	02/27/18 16:21:25.332.902		02 02 2e cd ae 00 04 b7 
691	02/27/18 16:21:25.333.595		2d 04 00 58 58 01 0a 
692	02/27/18 16:21:25.334.201		ca 00 04 ff 03 01 07 02 
693	02/27/18 16:21:25.334.893		00 00 00 01 04 02 01 00 
694	02/27/18 16:21:25.335.585		00 00 00 00 00 00 00 00 
695	02/27/18 16:21:25.336.278		00 00 00 00 00 00 00 00 
696	02/27/18 16:21:25.336.970		63 63 63 63 91 8b 
697	02/27/18 16:21:25.468.791	02 02 00 08 02 	
698	02/27/18 16:21:25.482.874		02 02 2e cd ae 00 04 b7 
699	02/27/18 16:21:25.483.566		c3 04 00 58 58 01 0a 
700	02/27/18 16:21:25.484.172		ca 00 04 ff 03 01 07 02 
701	02/27/18 16:21:25.484.864		01 00 00 01 04 02 01 00 
702	02/27/18 16:21:25.485.557		00 00 00 00 00 00 00 00 
703	02/27/18 16:21:25.486.249		00 00 00 00 00 00 00 00 
704	02/27/18 16:21:25.486.941		63 63 63 63 0c d1 
705	02/27/18 16:21:25.562.773	02 0e 00 4d 6f 	
706	02/27/18 16:21:25.583.214		02 0e f6 c2 b6 01 05 02 
707	02/27/18 16:21:25.583.906		64 00 01 01 00 01 00 01 
708	02/27/18 16:21:25.584.598		00 01 00 02 00 0b 0a 
709	02/27/18 16:21:25.585.204		23 4c 44 88 65 9f 81 a9 
710	02/27/18 16:21:25.585.896		96 ad a6 af b1 af b8 b0 
711	02/27/18 16:21:25.586.588		bd b0 c0 b0 c3 b0 c4 b0 
712	02/27/18 16:21:25.587.281		c5 b0 c5 b0 c6 b0 c6 b0 
713	02/27/18 16:21:25.587.973		c6 b0 c6 b0 c6 b0 c6 b0 
714	02/27/18 16:21:25.588.665		c6 b0 c6 b0 c6 b0 c6 b0 
715	02/27/18 16:21:25.589.358		c6 b0 c6 b0 c6 b0 c6 b0 
716	02/27/18 16:21:25.590.050		c6 b0 c6 b0 c6 b0 c6 b0 
717	02/27/18 16:21:25.590.743		c6 b0 c6 b0 c6 b0 c6 b0 
718	02/27/18 16:21:25.591.435		c6 b0 c6 b0 c6 af c6 af 
719	02/27/18 16:21:25.592.127		c6 af c6 af c6 af c6 af 
720	02/27/18 16:21:25.592.820		c6 af c6 af c6 af c6 af 
721	02/27/18 16:21:25.593.512		c6 af c6 af c6 af c6 af 
722	02/27/18 16:21:25.594.204		c6 af c6 af c6 af c5 af 
723	02/27/18 16:21:25.594.896		c5 af c5 af c5 af c5 af 
724	02/27/18 16:21:25.595.589		c5 af c5 af c5 af c5 af 
725	02/27/18 16:21:25.596.281		c5 af c5 af c5 af c5 af 
726	02/27/18 16:21:25.596.973		c5 af c5 af c5 af c5 af 
727	02/27/18 16:21:25.597.665		c5 af c5 af c5 af c5 af 
728	02/27/18 16:21:25.598.358		c5 af c5 af c5 af c5 af 
729	02/27/18 16:21:25.599.050		c5 af c5 af c5 af c5 af 
730	02/27/18 16:21:25.599.743		c5 af c5 ae c5 ae c5 ae 
731	02/27/18 16:21:25.600.435		c5 ae c5 ae c5 ae c5 ae 
732	02/27/18 16:21:25.601.127		c5 ae c5 ae c5 ae c5 ae 
733	02/27/18 16:21:25.601.820		c4 ae c4 ae bd 95 ac 43 
734	02/27/18 16:21:25.602.512		93 1d 78 0c 5e 03 46 00 
735	02/27/18 16:21:25.603.204		34 00 26 00 1b 00 14 00 
736	02/27/18 16:21:25.603.897		0f 00 0b 00 08 00 06 00 
737	02/27/18 16:21:25.604.589		05 00 04 00 79 89 
738	02/27/18 16:21:25.750.044	02 02 00 08 02 	
739	02/27/18 16:21:25.762.881		02 02 2e cd ae 00 04 b8 
740	02/27/18 16:21:25.763.574		db 04 00 58 58 01 0a 
741	02/27/18 16:21:25.764.179		ca 00 04 ff 03 01 07 02 
742	02/27/18 16:21:25.764.872		00 00 00 01 04 02 01 00 
743	02/27/18 16:21:25.765.564		00 00 00 00 00 00 00 00 
744	02/27/18 16:21:25.766.256		00 00 00 00 00 00 00 00 
745	02/27/18 16:21:25.766.948		63 63 63 63 5c 97 
746	02/27/18 16:21:25.906.314	02 02 00 08 02 	
747	02/27/18 16:21:25.922.886		02 02 2e cd ae 00 04 b9 
748	02/27/18 16:21:25.923.578		7b 04 00 58 58 01 0a 
749	02/27/18 16:21:25.924.184		ca 00 04 ff 03 01 07 02 
750	02/27/18 16:21:25.924.876		00 00 00 01 04 02 01 00 
751	02/27/18 16:21:25.925.568		00 00 00 00 00 00 00 00 
752	02/27/18 16:21:25.926.261		00 00 00 00 00 00 00 00 
753	02/27/18 16:21:25.926.953		63 63 63 63 b8 60 
754	02/27/18 16:21:26.062.566	02 02 00 08 02 	
755	02/27/18 16:21:26.082.890		02 02 2e cd ae 00 04 ba 
756	02/27/18 16:21:26.083.582		1b 04 00 58 58 01 0a 
757	02/27/18 16:21:26.084.188		bd 00 04 ff 03 01 07 02 
758	02/27/18 16:21:26.084.880		01 00 00 01 04 03 01 00 
759	02/27/18 16:21:26.085.573		00 00 00 00 00 00 00 00 
760	02/27/18 16:21:26.086.265		00 00 00 00 00 00 00 00 
761	02/27/18 16:21:26.086.957		63 63 63 63 43 c7 
762	02/27/18 16:21:26.156.470	02 0e 00 4d 6f 	
763	02/27/18 16:21:26.173.230		02 0e f6 c2 b6 01 05 03 
764	02/27/18 16:21:26.173.922		64 00 01 01 00 01 00 01 
765	02/27/18 16:21:26.174.614		00 01 00 02 00 0b 0a 
766	02/27/18 16:21:26.175.220		23 4e 44 89 65 9f 81 a8 
767	02/27/18 16:21:26.175.912		96 ad a6 ae b1 af b8 af 
768	02/27/18 16:21:26.176.604		bd b0 c0 b0 c2 b0 c4 b0 
769	02/27/18 16:21:26.177.297		c5 b0 c5 b0 c6 b0 c6 b0 
770	02/27/18 16:21:26.177.989		c6 b0 c6 b0 c6 b0 c6 b0 
771	02/27/18 16:21:26.178.681		c6 b0 c6 b0 c6 b0 c6 b0 
772	02/27/18 16:21:26.179.374		c6 b0 c6 b0 c6 b0 c6 b0 
773	02/27/18 16:21:26.180.066		c6 b0 c6 b0 c6 af c6 af 
774	02/27/18 16:21:26.180.759		c6 af c6 af c6 af c6 af 
775	02/27/18 16:21:26.181.451		c6 af c6 af c6 af c6 af 
776	02/27/18 16:21:26.182.143		c6 af c6 af c6 af c6 af 
777	02/27/18 16:21:26.182.836		c6 af c6 af c6 af c6 af 
778	02/27/18 16:21:26.183.528		c6 af c6 af c6 af c6 af 
779	02/27/18 16:21:26.184.220		c6 af c5 af c5 af c5 af 
780	02/27/18 16:21:26.184.912		c5 af c5 af c5 af c5 af 
781	02/27/18 16:21:26.185.605		c5 af c5 af c5 af c5 af 
782	02/27/18 16:21:26.186.297		c5 af c5 af c5 af c5 af 
783	02/27/18 16:21:26.186.989		c5 af c5 af c5 af c5 af 
784	02/27/18 16:21:26.187.681		c5 af c5 af c5 af c5 af 
785	02/27/18 16:21:26.188.374		c5 af c5 af c5 af c5 ae 
786	02/27/18 16:21:26.189.066		c5 ae c5 ae c5 ae c5 ae 
787	02/27/18 16:21:26.189.759		c5 ae c5 ae c5 ae c5 ae 
