Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
87	02/27/18 16:21:14.243.202		c6 af c6 af c6 af c6 af 
88	02/27/18 16:21:14.243.894		c6 af c5 af c5 af c5 af 
89	02/27/18 16:21:14.244.587		c5 af c5 af c5 af c5 af 
90	02/27/18 16:21:14.245.279		c5 af c5 af c5 af c5 af 
91	02/27/18 16:21:14.245.971		c5 af c5 af c5 af c5 af 
92	02/27/18 16:21:14.246.664		c5 af c5 af c5 af c5 af 
93	02/27/18 16:21:14.247.356		c5 af c5 af c5 af c5 af 
94	02/27/18 16:21:14.248.049		c5 af c5 af c5 af c5 af 
95	02/27/18 16:21:14.248.741		c5 af c5 af c5 af c5 af 
96	02/27/18 16:21:14.249.433		c5 af c5 af c5 ae c5 ae 
97	02/27/18 16:21:14.250.126		c5 af c5 af c5 ae c5 ae 
98	02/27/18 16:21:14.250.818		c5 ae c5 ae c5 ae c5 ae 
99	02/27/18 16:21:14.251.510		c4 ae c4 ae bd 94 ac 42 
100	02/27/18 16:21:14.252.202		93 1d 78 0c 5e 03 46 00 
101	02/27/18 16:21:14.252.895		34 00 26 00 1c 00 14 00 
102	02/27/18 16:21:14.253.587		0f 00 0b 00 08 00 06 00 
103	02/27/18 16:21:14.254.279		05 00 04 00 84 be 
104	02/27/18 16:21:14.408.898	02 02 00 08 02 	
105	02/27/18 16:21:14.422.572		02 02 2e cd ae 00 04 8c 
106	02/27/18 16:21:14.423.264		8f 04 00 58 58 01 0a 
107	02/27/18 16:21:14.423.870		ca 00 04 ff 00 00 05 02 
108	02/27/18 16:21:14.424.563		00 00 00 01 03 05 01 00 
109	02/27/18 16:21:14.425.255		00 00 00 00 00 00 00 00 
110	02/27/18 16:21:14.425.947		00 00 00 00 00 00 00 00 
111	02/27/18 16:21:14.426.640		63 63 63 63 ab 9a 
112	02/27/18 16:21:14.562.438	02 02 00 08 02 	
113	02/27/18 16:21:14.582.576		02 02 2e cd ae 00 04 8d 
114	02/27/18 16:21:14.583.269		2f 04 00 58 58 01 0a 
115	02/27/18 16:21:14.583.875		ca 00 04 ff 00 00 05 02 
116	02/27/18 16:21:14.584.567		00 00 00 01 03 05 01 00 
117	02/27/18 16:21:14.585.259		00 00 00 00 00 00 00 00 
118	02/27/18 16:21:14.585.952		00 00 00 00 00 00 00 00 
119	02/27/18 16:21:14.586.644		63 63 63 63 4f 6d 
120	02/27/18 16:21:14.718.733	02 02 00 08 02 	
121	02/27/18 16:21:14.732.570		02 02 2e cd ae 00 04 8d 
122	02/27/18 16:21:14.733.263		c5 04 00 58 58 01 0a 
123	02/27/18 16:21:14.733.869		ca 00 04 ff 00 00 05 03 
124	02/27/18 16:21:14.734.561		00 03 dd 01 04 00 01 00 
125	02/27/18 16:21:14.735.253		00 00 00 00 00 00 00 00 
126	02/27/18 16:21:14.735.946		00 00 00 00 00 00 00 00 
127	02/27/18 16:21:14.736.638		63 63 63 63 09 43 
128	02/27/18 16:21:14.874.968	02 02 00 08 02 	
129	02/27/18 16:21:14.892.575		02 02 2e cd ae 00 04 8e 
130	02/27/18 16:21:14.893.267		65 04 00 58 58 01 0a 
131	02/27/18 16:21:14.893.873		ca 00 04 ff 00 00 05 03 
132	02/27/18 16:21:14.894.565		00 03 cd 01 04 00 01 00 
133	02/27/18 16:21:14.895.258		00 00 00 00 00 00 00 00 
134	02/27/18 16:21:14.895.950		00 00 00 00 00 00 00 00 
135	02/27/18 16:21:14.896.642		63 63 63 63 05 36 
136	02/27/18 16:21:15.031.230	02 02 00 08 02 	
137	02/27/18 16:21:15.042.579		02 02 2e cd ae 00 04 8e 
138	02/27/18 16:21:15.043.271		fb 04 00 58 58 01 0a 
139	02/27/18 16:21:15.043.877		ca 00 04 ff 00 00 05 03 
140	02/27/18 16:21:15.044.569		00 03 be 01 04 00 01 00 
141	02/27/18 16:21:15.045.261		00 00 00 00 00 00 00 00 
142	02/27/18 16:21:15.045.954		00 00 00 00 00 00 00 00 
143	02/27/18 16:21:15.046.646		63 63 63 63 25 ad 
144	02/27/18 16:21:15.187.508	02 02 00 08 02 	
145	02/27/18 16:21:15.202.583		02 02 2e cd ae 00 04 8f 
146	02/27/18 16:21:15.203.276		9b 04 00 58 58 01 0a 
147	02/27/18 16:21:15.203.881		ca 00 04 ff 00 00 05 03 
148	02/27/18 16:21:15.204.573		00 03 ae 01 04 00 01 00 
149	02/27/18 16:21:15.205.266		00 00 00 00 00 00 00 00 
150	02/27/18 16:21:15.205.958		00 00 00 00 00 00 00 00 
151	02/27/18 16:21:15.206.651		63 63 63 63 94 0d 
152	02/27/18 16:21:15.343.744	02 02 00 08 02 	
153	02/27/18 16:21:15.362.587		02 02 2e cd ae 00 04 90 
154	02/27/18 16:21:15.363.280		3b 04 00 58 58 01 0a 
155	02/27/18 16:21:15.363.885		ca 00 04 ff 00 00 05 03 
156	02/27/18 16:21:15.364.578		00 03 9e 01 04 00 01 00 
157	02/27/18 16:21:15.365.270		00 00 00 00 00 00 00 00 
158	02/27/18 16:21:15.365.963		00 00 00 00 00 00 00 00 
159	02/27/18 16:21:15.366.655		63 63 63 63 78 3b 
160	02/27/18 16:21:15.500.022	02 02 00 08 02 	
161	02/27/18 16:21:15.512.592		02 02 2e cd ae 00 04 90 
162	02/27/18 16:21:15.513.284		d1 04 00 58 58 01 0a 
163	02/27/18 16:21:15.513.890		ca 00 04 ff 00 00 05 03 
164	02/27/18 16:21:15.514.582		00 03 8f 01 04 00 01 00 
165	02/27/18 16:21:15.515.274		00 00 00 00 00 00 00 00 
166	02/27/18 16:21:15.515.967		00 00 00 00 00 00 00 00 
167	02/27/18 16:21:15.516.659		63 63 63 63 b0 c7 
168	02/27/18 16:21:15.656.249	02 02 00 08 02 	
169	02/27/18 16:21:15.672.596		02 02 2e cd ae 00 04 91 
170	02/27/18 16:21:15.673.289		71 04 00 58 58 01 0a 
171	02/27/18 16:21:15.673.894		ca 00 04 ff 00 00 05 03 
172	02/27/18 16:21:15.674.587		00 03 7f 01 04 00 01 00 
173	02/27/18 16:21:15.675.279		00 00 00 00 00 00 00 00 
174	02/27/18 16:21:15.675.971		00 00 00 00 00 00 00 00 
175	02/27/18 16:21:15.676.663		63 63 63 63 7a 24 
176	02/27/18 16:21:15.812.492	02 02 00 08 02 	
177	02/27/18 16:21:15.832.601		02 02 2e cd ae 00 04 92 
